schema,table,column,data_type
public,BSEG,xumsw,text
public,BSEG,xhres,text
public,BSEG,xkres,text
public,BSEG,xopvw,text
public,BSEG,xcpdd,text
public,BSEG,xskst,text
public,BSEG,xsauf,text
public,BSEG,xspro,text
public,BSEG,xserg,text
public,BSEG,xfakt,text
public,BSEG,xuman,text
public,BSEG,xanet,text
public,BSEG,xskrl,text
public,BSEG,xinve,text
public,BSEG,xpanz,text
public,BSEG,xauto,text
public,BSEG,xncop,text
public,BSEG,xzahl,text
public,BSEG,saknr,text
public,BSEG,hkont,text
public,BSEG,kunnr,text
public,BSEG,lifnr,text
public,BSEG,filkd,text
public,BSEG,xbilk,text
public,BSEG,gvtyp,text
public,BSEG,hzuon,text
public,BSEG,zfbdt,text
public,BSEG,zterm,text
public,BSEG,zbd1t,text
public,BSEG,zbd2t,text
public,BSEG,zbd3t,text
public,BSEG,zbd1p,text
public,BSEG,zbd2p,text
public,BSEG,skfbt,text
public,BSEG,sknto,text
public,BSEG,wskto,text
public,BSEG,zlsch,text
public,BSEG,zlspr,text
public,BSEG,zbfix,text
public,BSEG,hbkid,text
public,BSEG,bvtyp,text
public,BSEG,nebtr,text
public,BSEG,mwsk1,text
public,BSEG,dmbt1,text
public,BSEG,wrbt1,text
public,BSEG,mwsk2,text
public,BSEG,dmbt2,text
public,BSEG,wrbt2,text
public,BSEG,mwsk3,text
public,BSEG,dmbt3,text
public,BSEG,wrbt3,text
public,BSEG,rebzg,text
public,BSEG,rebzj,text
public,BSEG,rebzz,text
public,BSEG,rebzt,text
public,BSEG,zollt,text
public,BSEG,zolld,text
public,BSEG,lzbkz,text
public,BSEG,landl,text
public,BSEG,diekz,text
public,BSEG,samnr,text
public,BSEG,abper,text
public,BSEG,vrskz,text
public,BSEG,vrsdt,text
public,BSEG,disbn,text
public,BSEG,disbj,text
public,BSEG,disbz,text
public,BSEG,wverw,text
public,BSEG,anfbn,text
public,BSEG,anfbj,text
public,BSEG,anfbu,text
public,BSEG,anfae,text
public,BSEG,blnbt,text
public,BSEG,blnkz,text
public,BSEG,blnpz,text
public,BSEG,mschl,text
public,BSEG,mansp,text
public,BSEG,madat,text
public,BSEG,manst,text
public,BSEG,maber,text
public,BSEG,esrnr,text
public,BSEG,esrre,text
public,BSEG,esrpz,text
public,BSEG,klibt,text
public,BSEG,qsznr,text
public,BSEG,qbshb,text
public,BSEG,qsfbt,text
public,BSEG,navhw,text
public,BSEG,navfw,text
public,BSEG,matnr,text
public,BSEG,werks,text
public,BSEG,menge,text
public,BSEG,meins,text
public,BSEG,erfmg,text
public,BSEG,erfme,text
public,BSEG,bpmng,text
public,BSEG,bprme,text
public,BSEG,ebeln,text
public,BSEG,ebelp,text
public,BSEG,zekkn,text
public,BSEG,elikz,text
public,BSEG,vprsv,text
public,BSEG,peinh,text
public,BSEG,bwkey,text
public,BSEG,bwtar,text
public,BSEG,bustw,text
public,BSEG,rewrt,text
public,BSEG,rewwr,text
public,BSEG,bonfb,text
public,BSEG,bualt,text
public,BSEG,psalt,text
public,BSEG,nprei,text
public,BSEG,tbtkz,text
public,BSEG,spgrp,text
public,BSEG,spgrm,text
public,BSEG,spgrt,text
public,BSEG,spgrg,text
public,BSEG,spgrv,text
public,BSEG,spgrq,text
public,BSEG,stceg,text
public,BSEG,egbld,text
public,BSEG,eglld,text
public,BSEG,rstgr,text
public,BSEG,ryacq,text
public,BSEG,rpacq,text
public,BSEG,rdiff,text
public,BSEG,rdif2,text
public,BSEG,prctr,text
public,BSEG,xhkom,text
public,BSEG,vname,text
public,BSEG,recid,text
public,BSEG,egrup,text
public,BSEG,vptnr,text
public,BSEG,vertt,text
public,BSEG,vertn,text
public,BSEG,vbewa,text
public,BSEG,depot,text
public,BSEG,txjcd,text
public,BSEG,imkey,text
public,BSEG,dabrz,text
public,BSEG,popts,text
public,BSEG,fipos,text
public,BSEG,kstrg,text
public,BSEG,nplnr,text
public,BSEG,aufpl,text
public,BSEG,aplzl,text
public,BSEG,projk,text
public,BSEG,paobjnr,text
public,BSEG,pasubnr,text
public,BSEG,spgrs,text
public,BSEG,spgrc,text
public,BSEG,btype,text
public,BSEG,etype,text
public,BSEG,xegdr,text
public,BSEG,lnran,text
public,BSEG,hrkft,text
public,BSEG,dmbe2,text
public,BSEG,dmbe3,text
public,BSEG,dmb21,text
public,BSEG,dmb22,text
public,BSEG,dmb23,text
public,BSEG,dmb31,text
public,BSEG,dmb32,text
public,BSEG,dmb33,text
public,BSEG,mwst2,text
public,BSEG,mwst3,text
public,BSEG,navh2,text
public,BSEG,navh3,text
public,BSEG,sknt2,text
public,BSEG,sknt3,text
public,BSEG,bdif3,text
public,BSEG,rdif3,text
public,BSEG,hwmet,text
public,BSEG,glupm,text
public,BSEG,xragl,text
public,BSEG,uzawe,text
public,BSEG,lokkt,text
public,BSEG,fistl,text
public,BSEG,geber,text
public,BSEG,stbuk,text
public,BSEG,txbh2,text
public,BSEG,txbh3,text
public,BSEG,pprct,text
public,BSEG,xref1,text
public,BSEG,xref2,text
public,BSEG,kblnr,text
public,BSEG,kblpos,text
public,BSEG,sttax,text
public,BSEG,fkber,text
public,BSEG,obzei,text
public,BSEG,xnegp,text
public,BSEG,rfzei,text
public,BSEG,ccbtc,text
public,BSEG,kkber,text
public,BSEG,empfb,text
public,BSEG,xref3,text
public,BSEG,dtws1,text
public,BSEG,dtws2,text
public,BSEG,dtws3,text
public,BSEG,dtws4,text
public,BSEG,gricd,text
public,BSEG,grirg,text
public,BSEG,gityp,text
public,BSEG,xpypr,text
public,BSEG,kidno,text
public,BSEG,absbt,text
public,BSEG,idxsp,text
public,BSEG,linfv,text
public,BSEG,kontt,text
public,BSEG,kontl,text
public,BSEG,txdat,text
public,BSEG,agzei,text
public,BSEG,pycur,text
public,BSEG,pyamt,text
public,BSEG,bupla,text
public,BSEG,secco,text
public,BSEG,lstar,text
public,BSEG,cession_kz,text
public,BSEG,prznr,text
public,BSEG,ppdiff,text
public,BSEG,ppdif2,text
public,BSEG,ppdif3,text
public,BSEG,penlc1,text
public,BSEG,penlc2,text
public,BSEG,penlc3,text
